spectrum_name,spectrum_base,absolute_time,lipid_shlomo_nm,aqueous_shlomo_nm
(Run)spectra_15-13-12-259.txt,(Run)spectra_15-13-12-259,15-13-12-259,33.1159803,2771.1086549
(Run)spectra_15-13-12-323.txt,(Run)spectra_15-13-12-323,15-13-12-323,33.8584461,2747.326374
(Run)spectra_15-13-12-377.txt,(Run)spectra_15-13-12-377,15-13-12-377,33.9615613,2723.7515271
(Run)spectra_15-13-12-432.txt,(Run)spectra_15-13-12-432,15-13-12-432,34.1976119,2700.227419
(Run)spectra_15-13-12-490.txt,(Run)spectra_15-13-12-490,15-13-12-490,33.879708,2681.0894529
(Run)spectra_15-13-12-540.txt,(Run)spectra_15-13-12-540,15-13-12-540,33.5164214,2662.5681722
(Run)spectra_15-13-12-598.txt,(Run)spectra_15-13-12-598,15-13-12-598,33.4170371,2647.6070797
(Run)spectra_15-13-12-659.txt,(Run)spectra_15-13-12-659,15-13-12-659,33.2755712,2645.1300321
(Run)spectra_15-13-12-722.txt,(Run)spectra_15-13-12-722,15-13-12-722,33.1885723,2637.0668504
(Run)spectra_15-13-12-767.txt,(Run)spectra_15-13-12-767,15-13-12-767,33.1811257,2633.0438755
(Run)spectra_15-13-12-823.txt,(Run)spectra_15-13-12-823,15-13-12-823,33.1254097,2628.2181682
(Run)spectra_15-13-12-882.txt,(Run)spectra_15-13-12-882,15-13-12-882,33.2600937,2621.9297574
(Run)spectra_15-13-12-935.txt,(Run)spectra_15-13-12-935,15-13-12-935,33.4387165,2613.8820358
(Run)spectra_15-13-13-010.txt,(Run)spectra_15-13-13-010,15-13-13-010,33.8514779,2605.2395997
(Run)spectra_15-13-13-050.txt,(Run)spectra_15-13-13-050,15-13-13-050,34.3904523,2600.8394194
(Run)spectra_15-13-13-101.txt,(Run)spectra_15-13-13-101,15-13-13-101,35.075247,2591.4683077
(Run)spectra_15-13-13-162.txt,(Run)spectra_15-13-13-162,15-13-13-162,35.5532108,2586.7494648
(Run)spectra_15-13-13-217.txt,(Run)spectra_15-13-13-217,15-13-13-217,36.1845218,2582.8009415
(Run)spectra_15-13-13-273.txt,(Run)spectra_15-13-13-273,15-13-13-273,36.3680176,2580.2470353
(Run)spectra_15-13-13-328.txt,(Run)spectra_15-13-13-328,15-13-13-328,36.4603916,2576.1195875
(Run)spectra_15-13-13-387.txt,(Run)spectra_15-13-13-387,15-13-13-387,36.6613667,2571.9316642
(Run)spectra_15-13-13-442.txt,(Run)spectra_15-13-13-442,15-13-13-442,36.1652457,2567.6089766
(Run)spectra_15-13-13-508.txt,(Run)spectra_15-13-13-508,15-13-13-508,35.8087623,2554.2937107
(Run)spectra_15-13-13-551.txt,(Run)spectra_15-13-13-551,15-13-13-551,36.0982426,2524.6656761
(Run)spectra_15-13-13-614.txt,(Run)spectra_15-13-13-614,15-13-13-614,36.2735644,2519.2685353
(Run)spectra_15-13-14-334.txt,(Run)spectra_15-13-14-334,15-13-14-334,34.7061967,2415.0412078
(Run)spectra_15-13-14-401.txt,(Run)spectra_15-13-14-401,15-13-14-401,34.5819892,2411.968593
(Run)spectra_15-13-14-448.txt,(Run)spectra_15-13-14-448,15-13-14-448,34.7854888,2405.3817633
(Run)spectra_15-13-14-521.txt,(Run)spectra_15-13-14-521,15-13-14-521,34.8996346,2402.5420375
(Run)spectra_15-13-14-561.txt,(Run)spectra_15-13-14-561,15-13-14-561,34.797775,2398.8663622
(Run)spectra_15-13-14-618.txt,(Run)spectra_15-13-14-618,15-13-14-618,34.5023177,2391.3884133
(Run)spectra_15-13-14-671.txt,(Run)spectra_15-13-14-671,15-13-14-671,34.5100158,2380.4694298
(Run)spectra_15-13-14-734.txt,(Run)spectra_15-13-14-734,15-13-14-734,34.7376116,2370.8090628
(Run)spectra_15-13-14-786.txt,(Run)spectra_15-13-14-786,15-13-14-786,35.0431446,2367.3431593
(Run)spectra_15-13-14-841.txt,(Run)spectra_15-13-14-841,15-13-14-841,34.6532321,2364.5274297
(Run)spectra_15-13-14-900.txt,(Run)spectra_15-13-14-900,15-13-14-900,34.0905183,2359.5627473
(Run)spectra_15-13-14-950.txt,(Run)spectra_15-13-14-950,15-13-14-950,34.2479586,2353.6846961
(Run)spectra_15-13-15-013.txt,(Run)spectra_15-13-15-013,15-13-15-013,34.1964748,2346.2194119
(Run)spectra_15-13-15-066.txt,(Run)spectra_15-13-15-066,15-13-15-066,34.1692222,2341.2223976
(Run)spectra_15-13-15-129.txt,(Run)spectra_15-13-15-129,15-13-15-129,34.1202193,2334.6858264
(Run)spectra_15-13-15-181.txt,(Run)spectra_15-13-15-181,15-13-15-181,34.086547,2332.6167077
(Run)spectra_15-13-15-236.txt,(Run)spectra_15-13-15-236,15-13-15-236,34.0780937,2333.997875
(Run)spectra_15-13-15-299.txt,(Run)spectra_15-13-15-299,15-13-15-299,34.1808666,2326.2061726
(Run)spectra_15-13-15-343.txt,(Run)spectra_15-13-15-343,15-13-15-343,33.9910733,2321.0677125
(Run)spectra_15-13-15-400.txt,(Run)spectra_15-13-15-400,15-13-15-400,34.4797388,2324.6963252
(Run)spectra_15-13-15-457.txt,(Run)spectra_15-13-15-457,15-13-15-457,34.3142166,2330.1630507
(Run)spectra_15-13-15-512.txt,(Run)spectra_15-13-15-512,15-13-15-512,34.2190603,2334.9201943
(Run)spectra_15-13-15-635.txt,(Run)spectra_15-13-15-635,15-13-15-635,33.9199122,2315.0833753
(Run)spectra_15-13-15-682.txt,(Run)spectra_15-13-15-682,15-13-15-682,33.8756564,2309.2982676
(Run)spectra_15-13-15-735.txt,(Run)spectra_15-13-15-735,15-13-15-735,34.222463,2310.0272552
(Run)spectra_15-13-15-913.txt,(Run)spectra_15-13-15-913,15-13-15-913,33.8285645,2252.7412064
(Run)spectra_15-13-15-962.txt,(Run)spectra_15-13-15-962,15-13-15-962,34.5893915,2229.657756
(Run)spectra_15-13-16-509.txt,(Run)spectra_15-13-16-509,15-13-16-509,36.7556366,2005.2122795
(Run)spectra_15-13-16-547.txt,(Run)spectra_15-13-16-547,15-13-16-547,37.2070743,1996.9918819
(Run)spectra_15-13-16-610.txt,(Run)spectra_15-13-16-610,15-13-16-610,36.6388733,1997.1503522
(Run)spectra_15-13-16-661.txt,(Run)spectra_15-13-16-661,15-13-16-661,35.9478565,1997.2572605
(Run)spectra_15-13-16-712.txt,(Run)spectra_15-13-16-712,15-13-16-712,36.1116046,1983.9829011
